ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
GO:0042254	ribosome biogenesis	292	-0.53601235507639	-2.22829966286488	3.67325583968365e-16	3.25560665071162e-12	2.98616366840809e-12	2593	tags=39%, list=20%, signal=32%	ENSG00000169519/ENSG00000188976/ENSG00000105671/ENSG00000123064/ENSG00000039123/ENSG00000141101/ENSG00000165733/ENSG00000168228/ENSG00000055483/ENSG00000111615/ENSG00000255561/ENSG00000167721/ENSG00000113360/ENSG00000104884/ENSG00000158526/ENSG00000147679/ENSG00000124784/ENSG00000196943/ENSG00000254093/ENSG00000160208/ENSG00000171862/ENSG00000077348/ENSG00000172183/ENSG00000278619/ENSG00000007376/ENSG00000171103/ENSG00000048162/ENSG00000058729/ENSG00000197498/ENSG00000227057/ENSG00000065183/ENSG00000007520/ENSG00000136718/ENSG00000132153/ENSG00000088205/ENSG00000141076/ENSG00000183751/ENSG00000122085/ENSG00000165732/ENSG00000175467/ENSG00000118181/ENSG00000261236/ENSG00000107937/ENSG00000112578/ENSG00000155438/ENSG00000167272/ENSG00000160214/ENSG00000067248/ENSG00000124228/ENSG00000156697/ENSG00000138442/ENSG00000086189/ENSG00000171806/ENSG00000169251/ENSG00000160818/ENSG00000085721/ENSG00000198242/ENSG00000114767/ENSG00000087269/ENSG00000108592/ENSG00000171316/ENSG00000100029/ENSG00000166197/ENSG00000075914/ENSG00000182810/ENSG00000130119/ENSG00000089048/ENSG00000133316/ENSG00000127804/ENSG00000117597/ENSG00000171490/ENSG00000117174/ENSG00000109534/ENSG00000178105/ENSG00000146909/ENSG00000132275/ENSG00000101181/ENSG00000065268/ENSG00000142207/ENSG00000145912/ENSG00000135372/ENSG00000127311/ENSG00000150990/ENSG00000148843/ENSG00000152464/ENSG00000182841/ENSG00000163811/ENSG00000052749/ENSG00000121274/ENSG00000120158/ENSG00000129347/ENSG00000135828/ENSG00000185163/ENSG00000164338/ENSG00000179041/ENSG00000148296/ENSG00000124383/ENSG00000134987/ENSG00000115368/ENSG00000198301/ENSG00000151304/ENSG00000145414/ENSG00000164163/ENSG00000130935/ENSG00000120800/ENSG00000135763/ENSG00000105793/ENSG00000165271/ENSG00000125485/ENSG00000067533/ENSG00000198000/ENSG00000132382/ENSG00000112159/ENSG00000119285/ENSG00000118246
GO:0034660	ncRNA metabolic process	504	-0.451961504063075	-1.96165481125199	1.1024200940537e-14	4.88537464679898e-11	4.48104757177724e-11	2593	tags=36%, list=20%, signal=29%	ENSG00000169519/ENSG00000105671/ENSG00000123064/ENSG00000151576/ENSG00000101391/ENSG00000039123/ENSG00000059588/ENSG00000164151/ENSG00000141101/ENSG00000100403/ENSG00000006744/ENSG00000141510/ENSG00000165733/ENSG00000168228/ENSG00000196976/ENSG00000055483/ENSG00000111615/ENSG00000134077/ENSG00000241370/ENSG00000070814/ENSG00000188917/ENSG00000255561/ENSG00000189007/ENSG00000167721/ENSG00000116120/ENSG00000126070/ENSG00000113360/ENSG00000104884/ENSG00000134684/ENSG00000198793/ENSG00000128694/ENSG00000158526/ENSG00000147679/ENSG00000124784/ENSG00000196943/ENSG00000165359/ENSG00000160208/ENSG00000072756/ENSG00000107614/ENSG00000149262/ENSG00000169718/ENSG00000077348/ENSG00000172183/ENSG00000160710/ENSG00000278619/ENSG00000007376/ENSG00000171103/ENSG00000172315/ENSG00000115207/ENSG00000058729/ENSG00000197498/ENSG00000136932/ENSG00000227057/ENSG00000129480/ENSG00000065183/ENSG00000023608/ENSG00000007520/ENSG00000136718/ENSG00000160193/ENSG00000088205/ENSG00000099284/ENSG00000083223/ENSG00000137054/ENSG00000141076/ENSG00000138385/ENSG00000183751/ENSG00000122085/ENSG00000165732/ENSG00000122299/ENSG00000175467/ENSG00000154813/ENSG00000118181/ENSG00000165055/ENSG00000261236/ENSG00000065457/ENSG00000107937/ENSG00000183665/ENSG00000165684/ENSG00000112578/ENSG00000269821/ENSG00000155438/ENSG00000167272/ENSG00000166166/ENSG00000179115/ENSG00000117877/ENSG00000204394/ENSG00000100697/ENSG00000160214/ENSG00000124228/ENSG00000156697/ENSG00000138442/ENSG00000155275/ENSG00000086189/ENSG00000171806/ENSG00000266967/ENSG00000185418/ENSG00000084073/ENSG00000124608/ENSG00000114767/ENSG00000137513/ENSG00000087269/ENSG00000122484/ENSG00000108592/ENSG00000125484/ENSG00000134440/ENSG00000171316/ENSG00000100029/ENSG00000166197/ENSG00000075914/ENSG00000177192/ENSG00000089048/ENSG00000133316/ENSG00000127804/ENSG00000142544/ENSG00000117597/ENSG00000174446/ENSG00000171490/ENSG00000100890/ENSG00000117174/ENSG00000109534/ENSG00000178105/ENSG00000132275/ENSG00000065268/ENSG00000142207/ENSG00000145912/ENSG00000135372/ENSG00000137760/ENSG00000164941/ENSG00000127311/ENSG00000162927/ENSG00000150990/ENSG00000148843/ENSG00000152464/ENSG00000109618/ENSG00000124217/ENSG00000182841/ENSG00000163811/ENSG00000105656/ENSG00000052749/ENSG00000121274/ENSG00000120158/ENSG00000138035/ENSG00000129347/ENSG00000135828/ENSG00000185163/ENSG00000164338/ENSG00000091127/ENSG00000076053/ENSG00000128915/ENSG00000179041/ENSG00000125630/ENSG00000037897/ENSG00000104047/ENSG00000124383/ENSG00000134987/ENSG00000115368/ENSG00000151304/ENSG00000123600/ENSG00000110060/ENSG00000132952/ENSG00000145414/ENSG00000174173/ENSG00000174177/ENSG00000164329/ENSG00000130935/ENSG00000120800/ENSG00000123908/ENSG00000144161/ENSG00000213339/ENSG00000154743/ENSG00000165271/ENSG00000134627/ENSG00000104907/ENSG00000067533/ENSG00000198000/ENSG00000103356/ENSG00000112159/ENSG00000119285/ENSG00000122435
GO:0034470	ncRNA processing	390	-0.473806446134684	-2.01353551773015	1.2600920694654e-13	3.72273200389061e-10	3.41462843946711e-10	2593	tags=37%, list=20%, signal=31%	ENSG00000169519/ENSG00000105671/ENSG00000123064/ENSG00000151576/ENSG00000101391/ENSG00000039123/ENSG00000059588/ENSG00000141101/ENSG00000100403/ENSG00000006744/ENSG00000141510/ENSG00000165733/ENSG00000168228/ENSG00000196976/ENSG00000055483/ENSG00000111615/ENSG00000134077/ENSG00000241370/ENSG00000188917/ENSG00000255561/ENSG00000189007/ENSG00000167721/ENSG00000126070/ENSG00000113360/ENSG00000104884/ENSG00000128694/ENSG00000158526/ENSG00000147679/ENSG00000124784/ENSG00000196943/ENSG00000165359/ENSG00000160208/ENSG00000072756/ENSG00000107614/ENSG00000149262/ENSG00000169718/ENSG00000077348/ENSG00000172183/ENSG00000160710/ENSG00000278619/ENSG00000007376/ENSG00000171103/ENSG00000172315/ENSG00000058729/ENSG00000197498/ENSG00000136932/ENSG00000227057/ENSG00000065183/ENSG00000007520/ENSG00000136718/ENSG00000160193/ENSG00000088205/ENSG00000083223/ENSG00000141076/ENSG00000138385/ENSG00000183751/ENSG00000122085/ENSG00000165732/ENSG00000122299/ENSG00000175467/ENSG00000154813/ENSG00000118181/ENSG00000165055/ENSG00000261236/ENSG00000065457/ENSG00000107937/ENSG00000183665/ENSG00000112578/ENSG00000155438/ENSG00000167272/ENSG00000166166/ENSG00000100697/ENSG00000160214/ENSG00000124228/ENSG00000156697/ENSG00000138442/ENSG00000155275/ENSG00000086189/ENSG00000171806/ENSG00000084073/ENSG00000124608/ENSG00000114767/ENSG00000087269/ENSG00000108592/ENSG00000171316/ENSG00000100029/ENSG00000166197/ENSG00000075914/ENSG00000177192/ENSG00000089048/ENSG00000133316/ENSG00000127804/ENSG00000142544/ENSG00000117597/ENSG00000171490/ENSG00000100890/ENSG00000117174/ENSG00000109534/ENSG00000178105/ENSG00000132275/ENSG00000065268/ENSG00000142207/ENSG00000145912/ENSG00000135372/ENSG00000137760/ENSG00000164941/ENSG00000127311/ENSG00000162927/ENSG00000150990/ENSG00000148843/ENSG00000152464/ENSG00000124217/ENSG00000182841/ENSG00000163811/ENSG00000052749/ENSG00000121274/ENSG00000120158/ENSG00000129347/ENSG00000135828/ENSG00000185163/ENSG00000164338/ENSG00000091127/ENSG00000179041/ENSG00000037897/ENSG00000104047/ENSG00000124383/ENSG00000134987/ENSG00000115368/ENSG00000151304/ENSG00000123600/ENSG00000110060/ENSG00000145414/ENSG00000174173/ENSG00000174177/ENSG00000130935/ENSG00000120800/ENSG00000123908/ENSG00000213339/ENSG00000154743/ENSG00000165271/ENSG00000104907/ENSG00000067533/ENSG00000198000/ENSG00000112159/ENSG00000119285/ENSG00000122435
GO:0022613	ribonucleoprotein complex biogenesis	396	-0.469596140499555	-1.99788221747435	1.799945604837e-13	3.98822947391758e-10	3.6581526068832e-10	2986	tags=37%, list=23%, signal=29%	ENSG00000215301/ENSG00000134697/ENSG00000175054/ENSG00000141456/ENSG00000083520/ENSG00000130826/ENSG00000053372/ENSG00000181991/ENSG00000142676/ENSG00000132467/ENSG00000124787/ENSG00000148300/ENSG00000096384/ENSG00000055044/ENSG00000232119/ENSG00000105618/ENSG00000169519/ENSG00000188976/ENSG00000105671/ENSG00000064703/ENSG00000123064/ENSG00000039123/ENSG00000141101/ENSG00000139726/ENSG00000132600/ENSG00000165733/ENSG00000168228/ENSG00000055483/ENSG00000111615/ENSG00000255561/ENSG00000167721/ENSG00000113360/ENSG00000104884/ENSG00000111605/ENSG00000137574/ENSG00000158526/ENSG00000147679/ENSG00000124784/ENSG00000196943/ENSG00000254093/ENSG00000160208/ENSG00000171862/ENSG00000077348/ENSG00000172183/ENSG00000278619/ENSG00000007376/ENSG00000171103/ENSG00000048162/ENSG00000058729/ENSG00000146963/ENSG00000197498/ENSG00000082516/ENSG00000227057/ENSG00000065183/ENSG00000007520/ENSG00000136718/ENSG00000132153/ENSG00000088205/ENSG00000132680/ENSG00000141076/ENSG00000183751/ENSG00000122085/ENSG00000165732/ENSG00000175467/ENSG00000118181/ENSG00000261236/ENSG00000107937/ENSG00000112578/ENSG00000155438/ENSG00000124193/ENSG00000167272/ENSG00000160214/ENSG00000067248/ENSG00000124228/ENSG00000139218/ENSG00000156697/ENSG00000138442/ENSG00000086189/ENSG00000142252/ENSG00000171806/ENSG00000169251/ENSG00000160818/ENSG00000085721/ENSG00000198242/ENSG00000114767/ENSG00000087269/ENSG00000108592/ENSG00000171316/ENSG00000100029/ENSG00000166197/ENSG00000075914/ENSG00000083635/ENSG00000182810/ENSG00000130119/ENSG00000089048/ENSG00000133316/ENSG00000127804/ENSG00000117597/ENSG00000171490/ENSG00000117174/ENSG00000109534/ENSG00000178105/ENSG00000146909/ENSG00000132275/ENSG00000101181/ENSG00000065268/ENSG00000142207/ENSG00000145912/ENSG00000185246/ENSG00000135372/ENSG00000127311/ENSG00000150990/ENSG00000148843/ENSG00000152464/ENSG00000182841/ENSG00000134371/ENSG00000163811/ENSG00000052749/ENSG00000121274/ENSG00000120158/ENSG00000129347/ENSG00000135828/ENSG00000185163/ENSG00000164338/ENSG00000179041/ENSG00000148296/ENSG00000005436/ENSG00000124383/ENSG00000134987/ENSG00000115368/ENSG00000198301/ENSG00000151304/ENSG00000145414/ENSG00000151131/ENSG00000164163/ENSG00000130935/ENSG00000120800/ENSG00000135763/ENSG00000105793/ENSG00000165271/ENSG00000125485/ENSG00000067533/ENSG00000198000/ENSG00000132382/ENSG00000112159/ENSG00000119285/ENSG00000118246
GO:0006364	rRNA processing	218	-0.541560581433712	-2.1888068139876	3.08084050467307e-12	5.46109787858348e-09	5.00912236159792e-09	2950	tags=47%, list=23%, signal=37%	ENSG00000141456/ENSG00000083520/ENSG00000130826/ENSG00000053372/ENSG00000181991/ENSG00000142676/ENSG00000132467/ENSG00000124787/ENSG00000148300/ENSG00000055044/ENSG00000169519/ENSG00000105671/ENSG00000123064/ENSG00000039123/ENSG00000141101/ENSG00000165733/ENSG00000168228/ENSG00000055483/ENSG00000111615/ENSG00000255561/ENSG00000167721/ENSG00000104884/ENSG00000158526/ENSG00000147679/ENSG00000124784/ENSG00000196943/ENSG00000160208/ENSG00000077348/ENSG00000172183/ENSG00000278619/ENSG00000007376/ENSG00000171103/ENSG00000058729/ENSG00000197498/ENSG00000227057/ENSG00000065183/ENSG00000007520/ENSG00000136718/ENSG00000088205/ENSG00000141076/ENSG00000183751/ENSG00000122085/ENSG00000165732/ENSG00000175467/ENSG00000118181/ENSG00000261236/ENSG00000107937/ENSG00000112578/ENSG00000155438/ENSG00000167272/ENSG00000160214/ENSG00000124228/ENSG00000156697/ENSG00000138442/ENSG00000086189/ENSG00000171806/ENSG00000114767/ENSG00000087269/ENSG00000108592/ENSG00000171316/ENSG00000100029/ENSG00000166197/ENSG00000075914/ENSG00000089048/ENSG00000133316/ENSG00000127804/ENSG00000117597/ENSG00000171490/ENSG00000117174/ENSG00000109534/ENSG00000178105/ENSG00000132275/ENSG00000065268/ENSG00000142207/ENSG00000145912/ENSG00000135372/ENSG00000127311/ENSG00000150990/ENSG00000148843/ENSG00000152464/ENSG00000182841/ENSG00000163811/ENSG00000052749/ENSG00000121274/ENSG00000120158/ENSG00000129347/ENSG00000135828/ENSG00000185163/ENSG00000164338/ENSG00000179041/ENSG00000124383/ENSG00000134987/ENSG00000115368/ENSG00000151304/ENSG00000145414/ENSG00000130935/ENSG00000120800/ENSG00000165271/ENSG00000067533/ENSG00000198000/ENSG00000112159/ENSG00000119285
GO:0016072	rRNA metabolic process	252	-0.501230537342925	-2.06416420728978	7.57424065169807e-11	1.1188415816e-07	1.02624316759762e-07	2593	tags=43%, list=20%, signal=35%	ENSG00000053372/ENSG00000181991/ENSG00000142676/ENSG00000132467/ENSG00000124787/ENSG00000148300/ENSG00000055044/ENSG00000169519/ENSG00000105671/ENSG00000123064/ENSG00000039123/ENSG00000141101/ENSG00000141510/ENSG00000165733/ENSG00000168228/ENSG00000055483/ENSG00000111615/ENSG00000070814/ENSG00000255561/ENSG00000167721/ENSG00000113360/ENSG00000104884/ENSG00000198793/ENSG00000158526/ENSG00000147679/ENSG00000124784/ENSG00000196943/ENSG00000160208/ENSG00000077348/ENSG00000172183/ENSG00000278619/ENSG00000007376/ENSG00000171103/ENSG00000115207/ENSG00000058729/ENSG00000197498/ENSG00000227057/ENSG00000065183/ENSG00000007520/ENSG00000136718/ENSG00000088205/ENSG00000099284/ENSG00000137054/ENSG00000141076/ENSG00000183751/ENSG00000122085/ENSG00000165732/ENSG00000175467/ENSG00000118181/ENSG00000261236/ENSG00000107937/ENSG00000112578/ENSG00000155438/ENSG00000167272/ENSG00000117877/ENSG00000160214/ENSG00000124228/ENSG00000156697/ENSG00000138442/ENSG00000086189/ENSG00000171806/ENSG00000114767/ENSG00000087269/ENSG00000108592/ENSG00000125484/ENSG00000171316/ENSG00000100029/ENSG00000166197/ENSG00000075914/ENSG00000089048/ENSG00000133316/ENSG00000127804/ENSG00000117597/ENSG00000171490/ENSG00000117174/ENSG00000109534/ENSG00000178105/ENSG00000132275/ENSG00000065268/ENSG00000142207/ENSG00000145912/ENSG00000135372/ENSG00000127311/ENSG00000150990/ENSG00000148843/ENSG00000152464/ENSG00000182841/ENSG00000163811/ENSG00000052749/ENSG00000121274/ENSG00000120158/ENSG00000129347/ENSG00000135828/ENSG00000185163/ENSG00000164338/ENSG00000179041/ENSG00000125630/ENSG00000124383/ENSG00000134987/ENSG00000115368/ENSG00000151304/ENSG00000145414/ENSG00000130935/ENSG00000120800/ENSG00000165271/ENSG00000067533/ENSG00000198000/ENSG00000112159/ENSG00000119285
GO:0001775	cell activation	655	0.418349882579387	1.73997566928054	4.47458826083294e-10	5.66546796510891e-07	5.19657821630268e-07	1389	tags=18%, list=11%, signal=17%	ENSG00000203747/ENSG00000168329/ENSG00000169896/ENSG00000167851/ENSG00000104972/ENSG00000143842/ENSG00000180644/ENSG00000113721/ENSG00000114013/ENSG00000198846/ENSG00000122223/ENSG00000077044/ENSG00000000938/ENSG00000130775/ENSG00000181847/ENSG00000181467/ENSG00000171522/ENSG00000035403/ENSG00000254087/ENSG00000135046/ENSG00000136854/ENSG00000140474/ENSG00000125810/ENSG00000171867/ENSG00000167775/ENSG00000112062/ENSG00000160255/ENSG00000150093/ENSG00000181104/ENSG00000111913/ENSG00000020633/ENSG00000105374/ENSG00000135077/ENSG00000102265/ENSG00000112130/ENSG00000177628/ENSG00000102034/ENSG00000189430/ENSG00000117091/ENSG00000057657/ENSG00000030110/ENSG00000113249/ENSG00000011600/ENSG00000089041/ENSG00000140691/ENSG00000204520/ENSG00000110876/ENSG00000197471/ENSG00000166501/ENSG00000064201/ENSG00000141736/ENSG00000073861/ENSG00000100219/ENSG00000149091/ENSG00000237541/ENSG00000130164/ENSG00000100097/ENSG00000081181/ENSG00000127951/ENSG00000196189/ENSG00000172936/ENSG00000196924/ENSG00000100225/ENSG00000196684/ENSG00000035720/ENSG00000068024/ENSG00000186716/ENSG00000117280/ENSG00000150637/ENSG00000163599/ENSG00000182866/ENSG00000112576/ENSG00000133247/ENSG00000103490/ENSG00000125657/ENSG00000106003/ENSG00000107738/ENSG00000077585/ENSG00000103522/ENSG00000198502/ENSG00000115956/ENSG00000168918/ENSG00000074966/ENSG00000108840/ENSG00000132205/ENSG00000167286/ENSG00000196352/ENSG00000177663/ENSG00000176170/ENSG00000136802/ENSG00000185811/ENSG00000122224/ENSG00000100263/ENSG00000135636/ENSG00000117450/ENSG00000164342/ENSG00000107485/ENSG00000135124/ENSG00000133789/ENSG00000126226/ENSG00000113263/ENSG00000131981/ENSG00000089289/ENSG00000113811/ENSG00000112195/ENSG00000132589/ENSG00000180900/ENSG00000163154/ENSG00000007312/ENSG00000025434/ENSG00000077420/ENSG00000120885/ENSG00000168036/ENSG00000204632/ENSG00000134250/ENSG00000132718/ENSG00000096996/ENSG00000131507/ENSG00000198805/ENSG00000117676
GO:0001906	cell killing	103	0.643177204688164	2.25354197832271	1.42328662864315e-08	1.57682367370802e-05	1.4463213990804e-05	636	tags=18%, list=5%, signal=18%	ENSG00000203747/ENSG00000115523/ENSG00000168329/ENSG00000167633/ENSG00000169896/ENSG00000104972/ENSG00000180644/ENSG00000182985/ENSG00000105374/ENSG00000135077/ENSG00000189430/ENSG00000134539/ENSG00000011600/ENSG00000089041/ENSG00000204520/ENSG00000085063/ENSG00000172936/ENSG00000035720/ENSG00000150637
GO:0045321	leukocyte activation	587	0.403632170843162	1.67047577997051	1.41477712056119e-07	0.000139324106883709	0.000127793259673615	1376	tags=18%, list=11%, signal=17%	ENSG00000203747/ENSG00000168329/ENSG00000169896/ENSG00000167851/ENSG00000104972/ENSG00000143842/ENSG00000180644/ENSG00000114013/ENSG00000198846/ENSG00000122223/ENSG00000000938/ENSG00000130775/ENSG00000181847/ENSG00000171522/ENSG00000254087/ENSG00000135046/ENSG00000136854/ENSG00000125810/ENSG00000171867/ENSG00000167775/ENSG00000160255/ENSG00000150093/ENSG00000111913/ENSG00000020633/ENSG00000105374/ENSG00000135077/ENSG00000112130/ENSG00000177628/ENSG00000102034/ENSG00000189430/ENSG00000117091/ENSG00000057657/ENSG00000030110/ENSG00000113249/ENSG00000011600/ENSG00000089041/ENSG00000140691/ENSG00000204520/ENSG00000110876/ENSG00000197471/ENSG00000166501/ENSG00000064201/ENSG00000141736/ENSG00000073861/ENSG00000100219/ENSG00000237541/ENSG00000130164/ENSG00000100097/ENSG00000081181/ENSG00000127951/ENSG00000196189/ENSG00000172936/ENSG00000100225/ENSG00000196684/ENSG00000035720/ENSG00000068024/ENSG00000186716/ENSG00000117280/ENSG00000150637/ENSG00000163599/ENSG00000182866/ENSG00000112576/ENSG00000133247/ENSG00000103490/ENSG00000125657/ENSG00000106003/ENSG00000107738/ENSG00000077585/ENSG00000103522/ENSG00000198502/ENSG00000168918/ENSG00000108840/ENSG00000167286/ENSG00000196352/ENSG00000176170/ENSG00000136802/ENSG00000185811/ENSG00000122224/ENSG00000100263/ENSG00000135636/ENSG00000117450/ENSG00000164342/ENSG00000107485/ENSG00000133789/ENSG00000126226/ENSG00000113263/ENSG00000131981/ENSG00000089289/ENSG00000113811/ENSG00000112195/ENSG00000132589/ENSG00000180900/ENSG00000163154/ENSG00000007312/ENSG00000025434/ENSG00000077420/ENSG00000120885/ENSG00000168036/ENSG00000204632/ENSG00000134250/ENSG00000132718/ENSG00000096996/ENSG00000131507/ENSG00000198805
GO:0042273	ribosomal large subunit biogenesis	70	-0.63048792871332	-2.20001525376138	1.93065650047215e-07	0.000171114085636847	0.000156952212138383	1918	tags=33%, list=15%, signal=28%	ENSG00000048162/ENSG00000197498/ENSG00000132153/ENSG00000088205/ENSG00000261236/ENSG00000107937/ENSG00000155438/ENSG00000138442/ENSG00000198242/ENSG00000108592/ENSG00000100029/ENSG00000182810/ENSG00000133316/ENSG00000171490/ENSG00000117174/ENSG00000142207/ENSG00000145912/ENSG00000179041/ENSG00000148296/ENSG00000198301/ENSG00000067533/ENSG00000112159/ENSG00000118246
