ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0001909	leukocyte mediated cytotoxicity	8/79	131/18800	7.71980624792313e-08	7.08128925564281e-05	5.96148523388453e-05	IL23R/FCGR3A/CX3CR1/PRF1/CADM1/ITGAM/LILRB1/KIR3DL1	8
GO:0001906	cell killing	9/79	185/18800	8.10216161972861e-08	7.08128925564281e-05	5.96148523388453e-05	IL23R/FCGR3A/GNLY/CX3CR1/PRF1/CADM1/ITGAM/LILRB1/KIR3DL1	9
GO:0050867	positive regulation of cell activation	11/79	436/18800	2.01463807783735e-06	0.000848572642745111	0.000714383087171905	FGR/IL23R/FCGR3A/SOX13/CD86/PDGFRB/TOX/THBS1/ITGAM/IL4I1/LILRB1	11
GO:0002697	regulation of immune effector process	10/79	353/18800	2.18864352254486e-06	0.000848572642745111	0.000714383087171905	FGR/IL23R/CD244/CX3CR1/CD86/CADM1/ITGAM/CD300A/IL4I1/LILRB1	10
GO:0002366	leukocyte activation involved in immune response	9/79	285/18800	3.03281744510736e-06	0.000848572642745111	0.000714383087171905	FGR/IL23R/CD244/CX3CR1/CD86/PTGER4/ITGAM/CD300A/LILRB1	9
GO:0002443	leukocyte mediated immunity	11/79	457/18800	3.16863218232904e-06	0.000848572642745111	0.000714383087171905	FGR/IL23R/FCGR3A/CX3CR1/PRF1/CADM1/ITGAM/CD300A/IL4I1/LILRB1/KIR3DL1	11
GO:0002263	cell activation involved in immune response	9/79	289/18800	3.39817419863603e-06	0.000848572642745111	0.000714383087171905	FGR/IL23R/CD244/CX3CR1/CD86/PTGER4/ITGAM/CD300A/LILRB1	9
GO:0031341	regulation of cell killing	6/79	100/18800	3.95392875903256e-06	0.000863933433848615	0.000727314790148358	IL23R/CX3CR1/PRF1/CADM1/ITGAM/LILRB1	6
GO:0002703	regulation of leukocyte mediated immunity	8/79	236/18800	6.63462175960566e-06	0.00128859098175452	0.00108481885613201	FGR/IL23R/CX3CR1/CADM1/ITGAM/CD300A/IL4I1/LILRB1	8
GO:0002699	positive regulation of immune effector process	8/79	248/18800	9.53101008903351e-06	0.00164469444247227	0.0013846096775721	FGR/IL23R/CD244/CD86/CADM1/ITGAM/CD300A/LILRB1	8
GO:0002696	positive regulation of leukocyte activation	10/79	421/18800	1.03499078187614e-05	0.00164469444247227	0.0013846096775721	FGR/IL23R/FCGR3A/SOX13/CD86/TOX/THBS1/ITGAM/IL4I1/LILRB1	10
GO:0032814	regulation of natural killer cell activation	4/79	38/18800	1.91221793280963e-05	0.00278546412212603	0.00234498304391918	FGR/IL23R/FCGR3A/TOX	4
GO:0001910	regulation of leukocyte mediated cytotoxicity	5/79	85/18800	2.90716714336842e-05	0.0038597059202518	0.00324934895610744	IL23R/CX3CR1/CADM1/ITGAM/LILRB1	5
GO:0007159	leukocyte cell-cell adhesion	9/79	381/18800	3.09129764779892e-05	0.0038597059202518	0.00324934895610744	IL23R/SOX13/CX3CR1/TIGIT/CD86/CERCAM/CD300A/IL4I1/LILRB1	9
GO:0030101	natural killer cell activation	5/79	93/18800	4.48715302435348e-05	0.00522902899104659	0.00440213328283941	FGR/IL23R/CD244/FCGR3A/TOX	5
GO:0046631	alpha-beta T cell activation	6/79	158/18800	5.36905916802097e-05	0.00586569714106291	0.00493812152427192	IL23R/CD86/PTGER4/TOX/CD300A/LILRB1	6
GO:0051250	negative regulation of lymphocyte activation	6/79	161/18800	5.96170756650446e-05	0.00613003813308812	0.0051606607913147	FGR/TIGIT/CD86/CD300A/IL4I1/LILRB1	6
GO:0032695	negative regulation of interleukin-12 production	3/79	19/18800	6.59256179471344e-05	0.00640211000953283	0.00538970841462538	TIGIT/THBS1/LILRB1	3
GO:0002683	negative regulation of immune system process	9/79	425/18800	7.19793453925568e-05	0.00662209977611522	0.00557490996447614	FGR/CX3CR1/TIGIT/CD86/PTGER4/THBS1/CD300A/IL4I1/LILRB1	9
