gene_id	PBMC-NK-1	PBMC-NK-2	PBMC-gdT-1	PBMC-gdT-2	SRR13381427	SRR13381428	SRR13381429	SRR13381430	SRR13381431	SRR13381432	SRR13381435	SRR13381436	SRR13381438	Number5	Number6	Number9	Number13	Number16	Number17	Number20
ENSG00000223972	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000227232	1	2	0	0	19	8	2	6	2	1	3	2	5	1	0	0	1	0	0	0
ENSG00000278267	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000243485	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000284332	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000237613	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000268020	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000240361	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
ENSG00000186092	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
ENSG00000238009	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000239945	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000233750	0	1	0	0	0	0	0	0	0	4	0	0	0	2	3	0	0	0	0	1
ENSG00000268903	4	0	0	11	1	20	11	6	0	9	2	4	2	1	0	4	1	0	0	0
ENSG00000269981	2	0	0	0	4	16	15	4	3	7	3	10	4	1	0	7	1	0	0	7
ENSG00000239906	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000241860	1	0	1	6	2	2	0	1	1	1	0	0	0	2	0	15	2	0	0	0
ENSG00000222623	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000241599	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000279928	8	3	0	0	0	0	2	0	0	0	0	0	0	2	3	0	4	0	3	0
ENSG00000279457	17	26	30	31	42	24	39	67	44	44	25	20	50	16	14	8	16	13	44	8
ENSG00000273874	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228463	0	0	1	0	0	2	0	2	0	0	0	0	0	0	0	1	2	0	0	0
ENSG00000286448	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0
ENSG00000236679	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000236601	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000237094	6	2	4	8	1	16	19	5	2	7	2	10	17	7	2	11	0	2	3	5
ENSG00000269732	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000284733	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000233653	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0
ENSG00000250575	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000278757	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230021	1	1	0	9	0	0	1	0	0	0	0	1	2	1	0	3	2	2	0	1
ENSG00000235146	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000225972	12	2701	12	23	12	8	4	5	5	5	5	5	8	7	2874	1	14	10	0	0
ENSG00000225630	1969	946	33	1876	2096	1063	1522	1307	1287	4875	3023	3026	2084	1343	1284	751	15	1152	961	933
ENSG00000237973	396	3847	386	506	319	260	362	184	363	340	363	389	504	219	3712	265	255	298	116	266
ENSG00000278791	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000229344	2	12	9	10	40	20	40	15	31	33	52	72	66	6	10	7	4	5	12	6
ENSG00000240409	1	7	17	4	13	11	16	5	15	20	17	30	12	7	7	7	3	1	7	1
ENSG00000248527	3668	2516	3292	2566	10577	5425	7658	5069	7787	8544	13373	13039	10765	2635	3327	2011	2350	2510	2011	4000
ENSG00000198744	16	7	11	8	107	63	93	62	106	117	92	149	119	1516	6	2	3	12	4	4
ENSG00000268663	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000284662	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000229376	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	2	0	0	0	0
ENSG00000228327	12	12	27	24	72	101	97	108	78	73	78	83	87	6	10	11	14	29	7	9
ENSG00000223181	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000229905	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000237491	17	9	18	32	40	35	28	51	20	30	41	27	25	7	8	23	28	9	6	9
ENSG00000285268	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230092	1	2	8	7	18	13	22	16	6	7	10	1	3	2	4	1	9	14	0	0
ENSG00000177757	2	3	8	1	7	11	12	8	7	6	10	14	10	0	3	1	3	5	0	0
ENSG00000228794	184	136	208	308	161	81	153	185	93	99	283	192	288	151	167	107	111	157	88	109
ENSG00000225880	6	0	2	5	17	27	22	25	11	21	27	31	35	4	0	4	3	15	2	2
ENSG00000230368	0	1	0	8	0	0	0	0	0	0	0	0	0	4	4	18	4	2	5	4
ENSG00000234711	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000283040	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000272438	0	0	0	0	0	5	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ENSG00000230699	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000241180	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000223764	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	3	0	3
ENSG00000187634	0	0	0	9	0	3	0	2	0	0	1	0	0	0	0	3	0	2	0	11
