gene_id	PBMC-NK-1	PBMC-NK-2	PBMC-gdT-1	PBMC-gdT-2	SRR13381427	SRR13381428	SRR13381429	SRR13381430	SRR13381431	SRR13381432	SRR13381435	SRR13381436	SRR13381438	Number5	Number6	Number9	Number13	Number16	Number17	Number20
ENSG00000223972	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000227232	1	7	0	0	5	2	1	1	1	1	1	1	2	1	0	0	1	0	0	0
ENSG00000278267	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000243485	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000284332	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000237613	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000268020	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000240361	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
ENSG00000186092	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
ENSG00000238009	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000239945	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000233750	0	1	0	0	0	0	0	0	0	3	0	0	0	3	4	0	0	0	0	1
ENSG00000268903	4	0	0	11	1	11	6	3	0	5	1	3	1	1	0	9	1	0	0	0
ENSG00000269981	6	0	0	0	2	8	8	2	2	4	2	5	2	1	0	8	1	0	0	8
ENSG00000239906	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000241860	1	0	1	6	4	4	0	1	1	1	0	0	0	2	0	9	1	0	0	0
ENSG00000222623	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000241599	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000279928	7	3	0	0	0	0	3	0	0	0	0	0	0	2	2	0	3	0	3	0
ENSG00000279457	21	32	36	38	28	16	26	46	30	30	17	14	35	25	22	13	25	21	64	13
ENSG00000273874	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228463	0	0	1	0	0	2	0	2	0	0	0	0	0	0	0	1	2	0	0	0
ENSG00000286448	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0
ENSG00000236679	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000236601	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000237094	9	3	6	12	1	13	15	4	2	6	2	8	13	9	3	13	0	3	4	7
ENSG00000269732	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000284733	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000233653	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0
ENSG00000250575	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000278757	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230021	1	1	0	3	0	0	1	0	0	0	0	1	7	1	0	2	1	1	0	1
ENSG00000235146	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000225972	7	1864	9	17	13	9	5	6	6	6	6	6	9	13	3164	1	16	12	0	0
ENSG00000225630	3389	1618	53	3244	1207	599	870	739	733	2905	1756	1758	1190	2010	1922	1102	31	1695	1409	1370
ENSG00000237973	345	3558	353	464	305	248	349	172	351	329	347	373	486	283	4016	290	283	332	135	295
ENSG00000278791	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000229344	5	23	18	20	19	10	20	7	15	16	24	34	31	12	18	13	8	10	21	11
ENSG00000240409	1	10	23	6	8	7	11	3	10	13	11	19	8	11	11	11	5	1	11	1
ENSG00000248527	6585	4518	5909	4570	5933	2985	4266	2767	4355	4796	7470	7278	5948	4064	5059	3052	3588	3863	3089	5951
ENSG00000198744	137	64	74	57	25	15	22	14	26	28	21	36	28	2833	18	5	7	24	9	9
ENSG00000268663	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000284662	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000229376	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	2	0	0	0	0
ENSG00000228327	22	21	48	43	28	41	39	44	31	29	31	33	35	15	23	26	33	66	18	22
ENSG00000223181	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000229905	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000237491	20	11	21	38	29	25	20	37	14	22	30	19	18	11	12	32	39	14	10	14
ENSG00000285268	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230092	1	4	13	12	11	8	14	10	4	4	7	1	2	3	6	1	13	20	0	0
ENSG00000177757	3	4	10	1	4	6	7	5	4	3	6	8	5	0	6	1	6	10	0	0
ENSG00000228794	151	112	171	253	174	86	166	201	99	106	305	204	310	155	170	109	115	161	92	113
ENSG00000225880	14	0	6	13	8	13	10	11	5	10	12	14	16	7	0	7	6	24	4	4
ENSG00000230368	0	1	0	8	0	0	0	0	0	0	0	0	0	4	4	18	4	2	5	4
ENSG00000234711	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000283040	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000272438	0	0	0	0	0	5	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ENSG00000230699	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000241180	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000223764	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	3	0	3
ENSG00000187634	0	0	0	6	0	6	0	4	0	0	1	0	0	0	0	2	0	1	0	7
ENSG00000188976	1187	830	1181	1394	1186	836	959	1104	780	703	1173	1240	1294	980	1045	604	709	1162	933	789
ENSG00000187961	361	253	600	582	400	390	470	529	375	291	263	189	291	256	415	251	421	426	266	446
ENSG00000187583	50	45	57	118	76	71	63	55	30	33	17	19	65	71	60	54	48	60	16	43
ENSG00000187642	1	0	0	0	0	0	2	2	0	2	0	0	2	0	0	0	0	0	0	0
ENSG00000272512	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000188290	0	0	0	0	0	0	0	1	0	0	4	1	1	1	0	0	0	0	0	0
ENSG00000187608	399	130	712	935	592	330	604	506	450	456	640	363	413	389	363	575	481	322	180	350
ENSG00000231702	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000224969	0	0	1	2	0	0	0	0	0	1	6	0	0	0	0	3	1	0	0	0
ENSG00000188157	123	43	80	177	135	98	79	68	110	78	735	335	241	70	70	75	80	55	39	172
ENSG00000242590	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000217801	136	50	7	135	74	50	56	38	59	30	459	235	255	85	71	22	34	15	9	146
ENSG00000273443	28	8	7	14	5	5	11	6	20	0	190	75	96	15	16	5	1	5	0	25
ENSG00000237330	1	1	0	1	0	0	0	0	0	0	476	280	287	0	0	1	0	0	1	0
ENSG00000131591	242	224	270	514	284	313	243	315	200	233	482	359	449	275	247	187	228	271	203	278
ENSG00000285812	7	6	8	9	4	6	9	15	3	1	1	4	11	5	6	5	3	14	9	0
ENSG00000223823	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
ENSG00000207730	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0
ENSG00000207607	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000198976	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000272141	0	0	0	0	0	0	0	2	1	1	0	0	1	0	0	0	0	0	0	0
ENSG00000205231	1	0	0	0	0	1	0	0	0	0	15	10	6	0	0	3	0	1	1	0
ENSG00000162571	65	39	0	0	0	1	0	0	1	0	1	1	1	1	0	0	0	0	0	0
ENSG00000186891	1230	1024	16	34	25	20	52	20	66	6	391	327	165	581	281	37	5	10	7	103
ENSG00000186827	279	224	11	25	23	6	18	18	15	10	104	102	110	339	74	17	5	1	0	39
ENSG00000078808	3544	2556	3151	3447	2647	2230	2521	2697	1838	2002	2198	2147	2187	3516	2929	1542	1747	2679	2140	2290
ENSG00000176022	390	333	591	649	586	356	477	416	342	327	465	461	463	450	412	308	290	607	407	224
ENSG00000184163	4	4	6	17	9	6	11	13	4	13	11	8	3	0	4	12	5	22	0	0
ENSG00000260179	1	1	4	3	1	2	2	6	4	3	5	2	0	0	3	7	1	1	0	0
ENSG00000160087	1086	730	1323	1438	1251	925	869	1143	772	799	1103	1062	1132	1066	908	619	832	1110	883	815
ENSG00000230415	12	1	8	18	7	11	7	16	9	3	13	6	10	12	1	1	14	9	9	0
ENSG00000162572	45	27	67	92	47	64	48	48	46	46	52	51	38	28	68	64	69	0	19	34
ENSG00000131584	565	379	1063	1607	887	917	1073	1209	702	715	1229	996	1276	475	538	500	997	875	703	1001
ENSG00000278073	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ENSG00000169972	181	136	160	229	194	144	156	163	111	124	280	265	243	121	160	79	121	189	161	146
ENSG00000127054	1776	1189	2057	2580	1972	1467	1535	2018	1336	1434	1942	1906	2099	1520	1582	997	1573	1704	1442	1549
ENSG00000283712	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000240731	50	40	58	59	55	44	59	56	49	29	62	32	65	35	35	27	53	71	39	46
ENSG00000224051	417	306	464	521	542	386	295	481	317	335	427	387	409	290	312	217	354	527	295	467
ENSG00000169962	29	33	24	20	25	22	26	32	31	17	15	8	14	14	12	7	37	12	9	64
ENSG00000107404	442	336	645	962	467	459	578	702	424	407	708	550	672	462	565	381	437	469	373	466
ENSG00000284372	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000162576	61	46	60	68	59	50	57	37	40	48	42	33	65	53	43	35	36	56	13	77
ENSG00000175756	948	668	1249	1123	1036	695	718	808	677	803	1187	1404	1170	951	990	466	627	1077	716	612
ENSG00000223663	0	0	4	0	0	3	0	3	0	0	1	0	1	0	3	0	3	0	3	0
ENSG00000221978	2481	1838	2630	5915	3212	3059	3980	5171	2706	2110	1635	1443	2073	1717	1770	3209	3192	2604	1918	4338
